test-set	passed	total
fn-abs	188	188
fn-adjust-dateTime-to-timezone	48	48
fn-adjust-date-to-timezone	41	41
fn-adjust-time-to-timezone	42	42
fn-analyze-string	30	30
fn-apply	17	17
fn-available-environment-variables	11	11
fn-avg	239	239
fn-base-uri	82	82
fn-boolean	143	143
fn-ceiling	94	94
fn-codepoint-equal	36	36
fn-codepoints-to-string	73	73
fn-collation-key	26	26
fn-compare	87	87
fn-concat	96	96
fn-contains	68	68
fn-contains-token	43	43
fn-count	316	316
fn-current-date	26	26
fn-current-dateTime	27	27
fn-current-time	24	24
fn-data	54	54
fn-dateTime	52	52
fn-day-from-date	27	27
fn-day-from-dateTime	27	27
fn-days-from-duration	31	31
fn-deep-equal	247	247
fn-default-collation	7	7
fn-default-language	6	6
fn-distinct-values	105	105
fn-doc	45	45
fn-doc-available	16	16
fn-document-uri	53	53
fn-empty	54	54
fn-encode-for-uri	29	29
fn-ends-with	52	52
fn-environment-variable	12	12
fn-error	97	97
fn-escape-html-uri	34	34
fn-exactly-one	54	54
fn-exists	58	58
fn-false	25	25
fn-filter	27	27
fn-floor	88	88
fn-fold-left	26	26
fn-fold-right	25	25
fn-for-each	17	17
fn-for-each-pair	47	47
fn-format-date	130	130
fn-format-dateTime	82	82
fn-format-integer	74	74
fn-format-time	91	91
fn-function-arity	21	21
fn-function-lookup	665	665
fn-function-name	25	25
fn-generate-id	24	24
fn-has-children	33	33
fn-head	8	8
fn-hours-from-dateTime	27	27
fn-hours-from-duration	31	31
fn-hours-from-time	27	27
fn-id	43	43
fn-idref	31	31
fn-implicit-timezone	27	27
fn-index-of	53	53
fn-innermost	50	50
fn-in-scope-prefixes	58	58
fn-insert-before	43	43
fn-iri-to-uri	46	46
fn-json-doc	68	68
fn-json-to-xml	79	79
fn-lang	46	46
fn-last	69	69
fn-load-xquery-module	0	0
fn-local-name	59	59
fn-local-name-from-QName	26	26
fn-lower-case	27	27
fn-matches	161	161
fn-matches.re	1003	1003
fn-max	208	208
fn-min	207	207
fn-minutes-from-dateTime	27	27
fn-minutes-from-duration	32	32
fn-minutes-from-time	27	27
fn-month-from-date	27	27
fn-month-from-dateTime	27	27
fn-months-from-duration	31	31
fn-name	33	33
fn-namespace-uri	33	33
fn-namespace-uri-for-prefix	29	29
fn-namespace-uri-from-QName	28	28
fn-nilled	34	34
fn-node-name	43	43
fn-normalize-space	35	35
fn-normalize-unicode	43	43
fn-not	83	83
fn-number	66	66
fn-one-or-more	56	56
fn-outermost	51	51
fn-parse-ietf-date	105	105
fn-parse-json	154	154
fn-parse-xml	17	17
fn-parse-xml-fragment	25	25
fn-path	17	17
fn-position	67	67
fn-prefix-from-QName	27	27
fn-QName	34	34
fn-random-number-generator	44	44
fn-remove	51	51
fn-replace	91	91
fn-resolve-QName	27	27
fn-resolve-uri	39	39
fn-reverse	70	70
fn-root	38	38
fn-round	262	262
fn-round-half-to-even	128	128
fn-seconds-from-dateTime	27	27
fn-seconds-from-duration	32	32
fn-seconds-from-time	27	27
fn-serialize	161	161
fn-sort	47	47
fn-starts-with	60	60
fn-static-base-uri	18	18
fn-string	69	69
fn-string-join	44	44
fn-string-length	34	34
fn-string-to-codepoints	44	44
fn-subsequence	107	107
fn-substring	48	48
fn-substring-after	50	50
fn-substring-before	50	50
fn-sum	222	222
fn-tail	6	6
fn-timezone-from-date	34	34
fn-timezone-from-dateTime	27	27
fn-timezone-from-time	27	27
fn-tokenize	65	65
fn-trace	29	29
fn-transform	2	2
fn-translate	44	44
fn-true	25	25
fn-unordered	43	43
fn-unparsed-text	52	52
fn-unparsed-text-available	51	51
fn-unparsed-text-lines	52	52
fn-upper-case	28	28
fn-uri-collection	7	7
fn-xml-to-json	137	137
fn-year-from-date	27	27
fn-year-from-dateTime	27	27
fn-years-from-duration	31	31
fn-zero-or-one	51	51
misc-AnnexE	8	8
misc-AppendixA4	9	9
misc-CombinedErrorCodes	230	232
misc-ErrorsAndOptimization	7	7
misc-HigherOrderFunctions	126	126
misc-JsonTestSuite	318	318
misc-StaticContext	1	1
misc-Surrogates	17	17
misc-UCACollation	46	73
misc-XMLEdition	9	9
op-add-dayTimeDurations	61	61
op-add-dayTimeDuration-to-date	24	25
op-add-dayTimeDuration-to-dateTime	26	27
op-add-dayTimeDuration-to-time	26	26
op-add-yearMonthDurations	27	27
op-add-yearMonthDuration-to-date	26	27
op-add-yearMonthDuration-to-dateTime	28	29
op-anyURI-equal	22	22
op-anyURI-greater-than	10	10
op-anyURI-less-than	8	8
op-bang	14	14
op-base64Binary-equal	30	30
op-base64Binary-greater-than	32	32
op-base64Binary-less-than	32	32
op-boolean-equal	57	57
op-boolean-greater-than	49	49
op-boolean-less-than	49	49
op-concat	92	92
op-concatenate	54	54
op-date-equal	47	47
op-date-greater-than	48	48
op-date-less-than	48	48
op-dateTime-equal	71	71
op-dateTime-greater-than	44	44
op-dateTime-less-than	44	44
op-dayTimeDuration-greater-than	58	58
op-dayTimeDuration-less-than	46	46
op-divide-dayTimeDuration	55	55
op-divide-yearMonthDuration	31	31
op-duration-equal	158	158
op-except	72	72
op-gDay-equal	51	51
op-gMonthDay-equal	51	51
op-gMonth-equal	45	45
op-gYear-equal	46	46
op-gYearMonth-equal	46	46
op-hexBinary-equal	35	35
op-hexBinary-greater-than	32	32
op-hexBinary-less-than	32	32
op-intersect	75	75
op-is-same-node	38	38
op-multiply-dayTimeDuration	47	47
op-multiply-yearMonthDuration	44	44
op-node-after	35	35
op-node-before	36	36
op-numeric-add	140	140
op-numeric-divide	139	140
op-numeric-equal	202	202
op-numeric-greater-than	118	118
op-numeric-integer-divide	135	136
op-numeric-less-than	183	183
op-numeric-mod	123	124
op-numeric-multiply	106	109
op-numeric-multiply	109	109
op-numeric-subtract	119	119
op-numeric-unary-minus	66	66
op-numeric-unary-plus	55	55
op-QName-equal	38	38
op-same-key	25	26
op-same-key	26	26
op-string-equal	15	15
op-string-greater-than	9	9
op-string-less-than	10	10
op-subtract-dates	30	30
op-subtract-dateTimes	30	30
op-subtract-dayTimeDuration-from-date	22	23
op-subtract-dayTimeDuration-from-dateTime	22	22
op-subtract-dayTimeDuration-from-time	27	27
op-subtract-dayTimeDurations	69	69
op-subtract-times	33	33
op-subtract-yearMonthDuration-from-date	24	25
op-subtract-yearMonthDuration-from-dateTime	22	23
op-subtract-yearMonthDurations	33	33
op-time-equal	58	58
op-time-greater-than	44	44
op-time-less-than	44	44
op-to	167	168
op-union	82	82
op-yearMonthDuration-greater-than	34	34
op-yearMonthDuration-less-than	34	34
prod-AxisStep	335	336
prod-AxisStep.abbr	23	23
prod-AxisStep.ancestor	43	43
prod-AxisStep.ancestor-or-self	31	31
prod-AxisStep.following	26	26
prod-AxisStep.following-sibling	33	33
prod-AxisStep.preceding	32	32
prod-AxisStep.preceding-sibling	28	28
prod-AxisStep.static-typing	0	0
prod-AxisStep.unabbr	26	26
prod-Comment	44	45
prod-CompNamespaceConstructor	38	42
prod-ContextItemDecl	40	44
prod-DecimalFormatDecl	40	41
prod-DefaultNamespaceDecl	58	59
prod-DirElemContent	126	131
prod-DirElemContent.namespace	132	133
